enrichment_ratio	Category
3.8	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.638888888888889	DHS w/out footprints
2.96875	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
2.96875	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.392857142857143	DHS w/out footprints
5	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.96875	DHS w/out footprints
2.317073170731707	DHS w/out footprints
2.261904761904762	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.96875	DHS w/out footprints
2.375	DHS w/out footprints
3.8	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.8	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
4.318181818181818	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.638888888888889	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.96875	DHS w/out footprints
4.318181818181818	DHS w/out footprints
2.5	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.8	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.8	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
2.96875	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
4.523809523809524	DHS w/out footprints
4.318181818181818	DHS w/out footprints
5	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
4.75	DHS w/out footprints
4.75	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.8	DHS w/out footprints
2.5	DHS w/out footprints
3.8	DHS w/out footprints
2.4358974358974357	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
5	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.96875	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.96875	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.8	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.96875	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.523809523809524	DHS w/out footprints
4.523809523809524	DHS w/out footprints
3.8	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.8	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.392857142857143	DHS w/out footprints
6.333333333333333	DHS w/out footprints
4.75	DHS w/out footprints
2.96875	DHS w/out footprints
3.392857142857143	DHS w/out footprints
5.588235294117647	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.317073170731707	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.8	DHS w/out footprints
2.638888888888889	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.638888888888889	DHS w/out footprints
3.392857142857143	DHS w/out footprints
4.75	DHS w/out footprints
2.5	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.8	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
5.277777777777778	DHS w/out footprints
3.8	DHS w/out footprints
5	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.064516129032258	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.2093023255813953	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.878787878787879	DHS w/out footprints
4.75	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.96875	DHS w/out footprints
5.277777777777778	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.8	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
4.75	DHS w/out footprints
4.523809523809524	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.8	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.638888888888889	DHS w/out footprints
2.317073170731707	DHS w/out footprints
4.523809523809524	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.878787878787879	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
6.785714285714286	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
2.96875	DHS w/out footprints
3.8	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
2.638888888888889	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
4.523809523809524	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.8	DHS w/out footprints
5.9375	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.4358974358974357	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.8	DHS w/out footprints
4.130434782608695	DHS w/out footprints
4.318181818181818	DHS w/out footprints
2.96875	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
5.277777777777778	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
4.318181818181818	DHS w/out footprints
4.523809523809524	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
4.523809523809524	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.8	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
4.75	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.5	DHS w/out footprints
6.785714285714286	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.96875	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.5	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
4.523809523809524	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
2.878787878787879	DHS w/out footprints
4.318181818181818	DHS w/out footprints
5	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
4.523809523809524	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
5	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.8	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.8	DHS w/out footprints
4.523809523809524	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.4358974358974357	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.8	DHS w/out footprints
4.75	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
4.75	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.8	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.96875	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
4.75	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.75	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.8	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
2.96875	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.8	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.96875	DHS w/out footprints
2.638888888888889	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.4358974358974357	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
4.75	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.375	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
4.130434782608695	DHS w/out footprints
4.75	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
5	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.8	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.318181818181818	DHS w/out footprints
2.96875	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.96875	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.8	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.5	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.8	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.8	DHS w/out footprints
4.130434782608695	DHS w/out footprints
4.523809523809524	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.638888888888889	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.96875	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.392857142857143	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.96875	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.8	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.638888888888889	DHS w/out footprints
2.638888888888889	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.392857142857143	DHS w/out footprints
5	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.261904761904762	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.638888888888889	DHS w/out footprints
2.638888888888889	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.878787878787879	DHS w/out footprints
4.318181818181818	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.5	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
4.523809523809524	DHS w/out footprints
3.064516129032258	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.638888888888889	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.375	DHS w/out footprints
2.96875	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.8	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
4.318181818181818	DHS w/out footprints
2.375	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
2.96875	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
3.8	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.375	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
5	DHS w/out footprints
5.588235294117647	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
5.277777777777778	DHS w/out footprints
4.523809523809524	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.638888888888889	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
4.523809523809524	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.878787878787879	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.96875	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.96875	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.8	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.064516129032258	DHS w/out footprints
5	DHS w/out footprints
2.96875	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.261904761904762	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.8	DHS w/out footprints
3.8	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
5	DHS w/out footprints
5.277777777777778	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.8	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
4.75	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.392857142857143	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.8	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.8	DHS w/out footprints
5.9375	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.392857142857143	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
4.75	DHS w/out footprints
3.8	DHS w/out footprints
3.392857142857143	DHS w/out footprints
2.96875	DHS w/out footprints
4.75	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
2.0652173913043477	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.392857142857143	DHS w/out footprints
4.523809523809524	DHS w/out footprints
2.878787878787879	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.4358974358974357	DHS w/out footprints
2.96875	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.5185185185185186	DHS w/out footprints
3.8	DHS w/out footprints
2.5675675675675675	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.318181818181818	DHS w/out footprints
2.7941176470588234	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.8	DHS w/out footprints
3.8	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.064516129032258	DHS w/out footprints
4.523809523809524	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.375	DHS w/out footprints
2.7142857142857144	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.878787878787879	DHS w/out footprints
4.130434782608695	DHS w/out footprints
2.96875	DHS w/out footprints
4.318181818181818	DHS w/out footprints
3.392857142857143	DHS w/out footprints
3.8	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
2.96875	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.8	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.96875	DHS w/out footprints
4.523809523809524	DHS w/out footprints
2.96875	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
4.130434782608695	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.064516129032258	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
2.878787878787879	DHS w/out footprints
2.261904761904762	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
3.8	DHS w/out footprints
3.064516129032258	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.6538461538461537	DHS w/out footprints
3.9583333333333335	DHS w/out footprints
3.2758620689655173	DHS w/out footprints
3.1666666666666665	DHS w/out footprints
2.5	DHS w/out footprints
2.878787878787879	DHS w/out footprints
3.392857142857143	DHS w/out footprints
